Subj,Consent,Condition,Order,Know,Time,Summary,Lang,Age,Gender,Gender_TEXT,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,SES,DO-BR-FL_16,DO-BR-FL_50
9,1,2,2,7,28.479,"In the first story, there was only one store and Bob was correct. In the 2nd story, there were 2 stores but Bob was wrong about one and right about the other.",21,30,1,,,,,,1,,,4,6,FL_50,Base Case|Mixed Case
10,1,2,2,6,7.175,The first scenario she needed help in knowing where to buy the paper.,21,45,2,,,,,,1,,,3,6,FL_50,Base Case|Mixed Case
11,1,2,2,2,34.093,the first story bob gave her one location to look for an italian newspaper at (newstopia) and the second story he gave her two locations to choose from (newstopia and paperworld). ,21,34,2,,,,,,1,,,5,5,FL_50,Base Case|Mixed Case
12,1,2,2,7,23.821,The first story only had newstopia the second also had papercity.,21,32,1,,,,,,1,,,4,4,FL_50,Base Case|Mixed Case
13,1,2,2,4,20.194,"The Paper place does sell Itallian paper, but not NEWSpaper.  Newstopia sells Itallian papers as well, but only NEWspaper which is what Susan was referring to when she said 'paper'. ",21,,1,31,,,,,1,,,4,5,FL_50,Base Case|Mixed Case
14,1,2,2,3,26.635,"the first story had one paper store and her frind said it sold italian newspapers,which it did, the second storey had 2 paper stores. her friend told her they sold them in one of the stores but they did not. we don;t know if they sell them in the second store.",21,30,1,,,,,,1,,,4,7,FL_50,Base Case|Mixed Case
15,1,2,2,1,42.533,"bob lied the first time, so when faced with another choice, sue didn't know what to believe or where to go next",21,59,2,,,,,,1,,,2,7,FL_50,Base Case|Mixed Case
16,1,2,2,5,29.892,In one Bob was wrong but provided two stores to buy the newspaper from,21,30,1,,,,,,1,,,5,8,FL_50,Base Case|Mixed Case
17,1,2,2,4,61.801,"The difference was that for the second story, a second possible store was involved, and Bob misinformed Sue. It turns out only one of the stores actually sold what Sue was looking for.",21,24,1,,,,1,,,,,5,5,FL_50,Base Case|Mixed Case
18,1,2,2,7,52.658,"in one, Bob directed Susan to one shop, which sold italian newspapers. In the second, he referred her to two shops, one of which did not sell italian newspapers.",21,45,1,,,,,,1,,,5,6,FL_50,Base Case|Mixed Case
19,1,2,2,3,3.494,setting,21,24,1,,,,,,1,,,5,7,FL_50,Base Case|Mixed Case
20,1,2,2,4,30.411,"In the first story Bob gives her the name of one place she can buy a newspaper, but in the second story he gives her the name of two places and Sue finds out one place doesn't sell the newspaper.",21,67,2,,,,,,1,,,6,4,FL_50,Base Case|Mixed Case
21,1,2,2,4,91.241,"In the first story, Bob gave the correct store (and only the correct store) where Sue can buy an Italian newspaper. In the second story, Bob gave two possible stores where Sue could buy an Italian newspaper (claiming they both sold newspapers), but it turned out he was mistaken and only one of the stores actually sold them.ÿ",21,23,1,,1,,,,,,,4,6,FL_50,Base Case|Mixed Case
22,1,2,2,7,52.085,Sue believes Bob Sue normally very informed and correct.  In one story Bob was informed and correct about where to buy an Italian newspaper but in the other story he was not correct. ,21,42,2,,,,,,1,,,5,6,FL_50,Base Case|Mixed Case
23,1,2,2,3,35.559,"The difference is that in the first story, Bob correctly told Sue where the Italian newspaper was sold whereas the second he did not.",21,21,1,,,,1,,,,,5,8,FL_50,Base Case|Mixed Case
24,1,2,2,7,33.795,One of the storys had how Bob was worng about Paperworld.,21,25,1,,,,,,1,,,4,8,FL_50,Base Case|Mixed Case
25,1,2,2,6,38.768,"In the first sotry, Bob was correct in informing Sue about where to buy Italian newspaper. However, in the second story Bob was partially correctly about where to buy an Italian newspaper.",21,23,1,,,1,,,,,,5,5,FL_50,Base Case|Mixed Case
26,1,2,2,6,30.648,"In the first story, Bob was correct that store sold Italian newspapers.  In the second story, Bob was only half correct about which store sold Italian newspapers.",21,36,1,,1,,,,,,,5,7,FL_50,Base Case|Mixed Case
27,1,2,2,7,6.302,The difference was bobs advice,21,30,1,,,,,,1,,,5,5,FL_50,Base Case|Mixed Case
28,1,2,2,6,3.161,"sue was standing on a street near NEwstopia, her friend Bob told her sh can buy an italian newspaper in this store. Bob was right. In the 2nd story bob was wrong.",22,21,1,,,,,,1,,,5,5,FL_50,Base Case|Mixed Case
29,1,2,2,4,36.544,First storry the girl buys Italian newspaper from the right store after being informed by Bob which store sells them. Second story the girl originally goes to a store that Does not sell Italian News Papers but rather office supplies.,21,29,1,,,,,,1,,,5,5,FL_50,Base Case|Mixed Case
30,1,2,2,5,32.495,"In the first story Sue's friend only references one store with an Italian paper and he is telling the truth.  However, in the second story he references two stores one of which doesn't sell the paper.",21,19,1,,,,,,1,,,4,7,FL_50,Base Case|Mixed Case
31,1,2,2,5,17.898,"In the second story, a second store was introduced that sold stationery, not newspapers.",21,20,1,,,,,,1,,,4,5,FL_50,Base Case|Mixed Case
32,1,2,2,7,32.351,"The first story Bob told her she could get an italian Newspaper at newstopia, The second story bob wrongly told her she can get an italian newspaper at Paperworld",21,27,1,,1,,,,,,,5,6,FL_50,Base Case|Mixed Case
33,1,2,2,6,25.81,"bob told sue that newstopia had italian newspapers in both stories, which was correct. in the second story bob also said paperworld had the italian newspapers but they had no newspapers at all. bob is usually well informed on these things",21,25,1,,,,1,,,,,5,4,FL_50,Base Case|Mixed Case
34,1,1,2,7,12.124,first she was told that she could buy it at both places. 2nd story said she could buy it at one place.,21,29,2,,,,,,1,,,5,4,FL_50,Mixed Case|Base Case
35,1,1,2,6,13.568,"The first story mentioned two stores while the second store only mentioned the one, Newstopia. ",21,39,2,,,,,,1,,,6,5,FL_50,Mixed Case|Base Case
36,1,1,2,7,14.129,In the first instance Bob was completely wrong about the Italian papers. In the second example Bob was correct about where to get Italian papers and Sue was able to buy the paper. ,21,27,1,,,,,,1,,,6,4,FL_50,Mixed Case|Base Case
37,1,1,2,7,22.14,The first story had an option called paperworld that Bob thought sold the italian newspaper also. The second story only had newstopia which Bob was right about. ,21,35,1,,,,,,1,,,4,7,FL_50,Mixed Case|Base Case
38,1,1,2,7,33.958,"In the first one Bob told her incorrectly that she could get an Italian paper at Paperworld, in the second story there was only Newstopia.",21,32,1,,,,,,1,,,5,8,FL_50,Mixed Case|Base Case
39,1,1,2,5,15.68,"In the first one bob was incorrect about one of them, because it only sold stationary. In the second one, he was right about one and didn't mention another one.",21,27,1,,,,,,1,,,5,5,FL_50,Mixed Case|Base Case
40,1,1,2,3,4.915,Basically Sue was right and wrong where she could buy a newspaper.,21,27,1,,,,,,1,,,5,7,FL_50,Mixed Case|Base Case
41,1,1,2,7,10.969,"In one Sue's friend gave her two options, one which was wrong.  In the second she was only given one option, which was correct.",21,29,1,,,,,,1,,,4,8,FL_50,Mixed Case|Base Case
42,1,1,2,7,10.832,"To tell the truth, I assumed the 2nd story was the same as the first.  I skimmed it, and Bob was right about at least one store in each.",21,41,1,,,,,,1,,,6,3,FL_50,Mixed Case|Base Case
43,1,1,2,7,11.7,Sue's friend is a native of the town and he tells her where to buy italian newspapers. Sometimes he is right.,21,24,2,,,,,,1,,,6,8,FL_50,Mixed Case|Base Case
44,1,1,2,7,19.843,as sue does not know anything about the shops and she trusts her friend. so in first story bob said that she can buy news paper from both of the shops but one shop does not sell news paper and so she  can get confused. in next story bob said she can buy newspaper from the newstopia so she went to buy without any confusion.,21,32,1,,,,1,,,,,6,4,FL_50,Mixed Case|Base Case
45,1,1,2,7,17.697,The first story has a choice between two stores and one of them did not sell Italian newspapers.  The second story just offered the one store that did sell Italian newspapers.,21,36,2,,,,,,1,,,2,7,FL_50,Mixed Case|Base Case
46,1,1,2,6,8.912,Sue is new to the city and asks Bob where to buy Italian newspapers.,21,23,1,,,,,,1,,,5,6,FL_50,Mixed Case|Base Case
47,1,1,2,7,8.525,The first one distracted us making us think Susan didnt know the newspaper simply because one of two was incorrect.,21,29,1,,,,,,1,,,8,4,FL_50,Mixed Case|Base Case
48,1,1,2,6,34.096,"In the first story, Bob told Sue that she could buy an Italian newspaper at PaperWorld and Newstopia.  This was incorrect, because she can only buy it at Newstopia.  In the second story, only Newstopia was mentioned as a place to buy the Italian newspaper (which was correct).",21,28,2,,,,,,1,,,6,4,FL_50,Mixed Case|Base Case
49,1,1,2,6,15.814,"The first story mentioned two stores, one of which sold stationery and no Italian newspapers",21,24,2,,1,,1,,,,,5,8,FL_50,Mixed Case|Base Case
50,1,1,2,7,11.792,The first story had 2 choices where one had a store that did not sell newpapers,21,22,2,,,,1,,,,,5,5,FL_50,Mixed Case|Base Case
51,1,1,2,7,20.12,"In the first story Bob created a level of distrust for Sue in his lack of knowledge.  In the second story Bob was right the first time, earning him points.",21,43,2,,,,,,1,,,5,4,FL_50,Mixed Case|Base Case
52,1,1,2,6,8.248,The second story only contained newstopia to buy a paper from. The first had paperworld (a stationary store) and newstopia.,21,33,1,,,,,,1,,,5,10,FL_50,Mixed Case|Base Case
53,1,1,2,5,25.623,The first story Bob gave Sue two options on where to buy the italian newspaper and he was incorrect about one of them. In the second story he gave her one option and he was right about that one option.,21,26,1,,,,,,1,,,4,4,FL_50,Mixed Case|Base Case
54,1,1,2,7,15.761,bob told her to go to paperworld to get a newspaper. paperworld is a store that sells stationary and not newspapers.,21,27,1,,1,,,,,,,5,3,FL_50,Mixed Case|Base Case
55,1,1,2,5,17.318,Bob mistakenly informed Sue where she could be an Italian newspaper at paper world.  However he was correct in saying she could buy a paper at the other establilshment.,21,62,2,,,,,,1,,,3,6,FL_50,Mixed Case|Base Case
56,1,1,2,7,22.602,the first story has two stores,21,52,1,,,,,,1,,,5,7,FL_50,Mixed Case|Base Case
57,1,1,2,6,9.17,There weren't any newspapers in the first one.,21,20,1,,,,,,1,,,4,5,FL_50,Mixed Case|Base Case
58,1,1,2,7,8.884,"Bob told Sue she could but a newspaper at both stores, but really only one store sold newspapers.",21,39,2,,,,,,1,,,5,5,FL_50,Mixed Case|Base Case
59,1,1,2,4,24.331,She is standing on the street near Newstopia on the second story and isn't near Paperworld.,21,21,2,,,,,,1,,,5,9,FL_50,Mixed Case|Base Case
60,1,1,2,7,15.53,"The first story eventually rules out one store as having newspapers, while the second assumes the store has the paper from Bob's recommendation.",21,30,1,,,,,,1,,,5,6,FL_50,Mixed Case|Base Case
61,1,1,2,7,22.326,"One story has a store where Sue thinks she can buy a newspaper but can't, and one story just has a one store where she can buy a newspaper.",21,22,1,,,,,,1,,,4,6,FL_50,Mixed Case|Base Case
62,1,1,2,2,4.074,sue could only buy newspaper at one store,21,27,2,,,,,,1,,,2,8,FL_50,Mixed Case|Base Case
63,1,1,2,4,10.675,"The second story does not confirm that Bob was wrong about Paperworld.  In the first story, it is known that Paperworld does not sell an Italian newspaper, while in the second, the reader does not know.",21,22,1,,,,1,,,,,5,5,FL_50,Mixed Case|Base Case
64,1,1,2,4,1.022,The second story does not confirm that Paperworld does not sell Italian Newspapers.,21,22,1,,,,1,,,,,5,5,FL_50,Mixed Case|Base Case
65,1,1,2,7,13.403,The second was more straight forward and to the fact.,21,30,1,,,,,,1,,,4,6,FL_50,Mixed Case|Base Case
66,1,1,2,7,17.66,"In the first story, Bob was incorrect about one of the stores selling Italian newspapers. In the second story, Bob was correct in that Newstopia did sell the Italian newspaper.",21,28,2,,,,,,1,,,5,7,FL_50,Mixed Case|Base Case
67,1,1,2,7,59.134,The difference is this: In the first the story there are two stores and in the second there is only one store. In the first story Bob is half right with one store selling the newspaper and in the second story is completely right about the store selling the newspaper.,21,19,1,,,,1,,,,,4,6,FL_50,Mixed Case|Base Case
68,1,1,2,7,21.633,One informed the reader that Bob was misinformed.,21,21,1,,,,,,,,,4,7,FL_50,Mixed Case|Base Case
69,1,1,2,6,4.78,There wasn't any discernible difference in the stories.,21,39,1,,,,,,1,,,6,6,FL_50,Mixed Case|Base Case
70,1,1,2,4,8.536,"Honestly, I did not notice any major difference except that the two stores were reversed. ",21,23,1,,,,,,1,,,5,4,FL_50,Mixed Case|Base Case
71,1,1,2,7,16.009,"In the first one,  Bob listed two stores, one of which did not have the newspaper. In the second, he listed one store which does have the paper.",21,22,2,,,,,,1,,,5,6,FL_50,Mixed Case|Base Case
72,1,1,2,4,35.871,"One includes both paperworld and newstopia, while one only includes newstopia. ",21,21,1,,,,1,,,,,5,5,FL_50,Mixed Case|Base Case
34,1,2,1,5,164.605,first she was told that she could buy it at both places. 2nd story said she could buy it at one place.,21,29,2,,,,,,1,,,5,4,FL_50,Mixed Case|Base Case
35,1,2,1,4,24.554,"The first story mentioned two stores while the second store only mentioned the one, Newstopia. ",21,39,2,,,,,,1,,,6,5,FL_50,Mixed Case|Base Case
36,1,2,1,2,29.66,In the first instance Bob was completely wrong about the Italian papers. In the second example Bob was correct about where to get Italian papers and Sue was able to buy the paper. ,21,27,1,,,,,,1,,,6,4,FL_50,Mixed Case|Base Case
37,1,2,1,4,31.844,The first story had an option called paperworld that Bob thought sold the italian newspaper also. The second story only had newstopia which Bob was right about. ,21,35,1,,,,,,1,,,4,7,FL_50,Mixed Case|Base Case
38,1,2,1,7,76.546,"In the first one Bob told her incorrectly that she could get an Italian paper at Paperworld, in the second story there was only Newstopia.",21,32,1,,,,,,1,,,5,8,FL_50,Mixed Case|Base Case
39,1,2,1,3,385.712,"In the first one bob was incorrect about one of them, because it only sold stationary. In the second one, he was right about one and didn't mention another one.",21,27,1,,,,,,1,,,5,5,FL_50,Mixed Case|Base Case
40,1,2,1,2,32.475,Basically Sue was right and wrong where she could buy a newspaper.,21,27,1,,,,,,1,,,5,7,FL_50,Mixed Case|Base Case
41,1,2,1,5,29.958,"In one Sue's friend gave her two options, one which was wrong.  In the second she was only given one option, which was correct.",21,29,1,,,,,,1,,,4,8,FL_50,Mixed Case|Base Case
42,1,2,1,7,30.604,"To tell the truth, I assumed the 2nd story was the same as the first.  I skimmed it, and Bob was right about at least one store in each.",21,41,1,,,,,,1,,,6,3,FL_50,Mixed Case|Base Case
43,1,2,1,5,19.547,Sue's friend is a native of the town and he tells her where to buy italian newspapers. Sometimes he is right.,21,24,2,,,,,,1,,,6,8,FL_50,Mixed Case|Base Case
44,1,2,1,2,49.415,as sue does not know anything about the shops and she trusts her friend. so in first story bob said that she can buy news paper from both of the shops but one shop does not sell news paper and so she  can get confused. in next story bob said she can buy newspaper from the newstopia so she went to buy without any confusion.,21,32,1,,,,1,,,,,6,4,FL_50,Mixed Case|Base Case
45,1,2,1,3,69.627,The first story has a choice between two stores and one of them did not sell Italian newspapers.  The second story just offered the one store that did sell Italian newspapers.,21,36,2,,,,,,1,,,2,7,FL_50,Mixed Case|Base Case
46,1,2,1,2,33.784,Sue is new to the city and asks Bob where to buy Italian newspapers.,21,23,1,,,,,,1,,,5,6,FL_50,Mixed Case|Base Case
47,1,2,1,7,112.102,The first one distracted us making us think Susan didnt know the newspaper simply because one of two was incorrect.,21,29,1,,,,,,1,,,8,4,FL_50,Mixed Case|Base Case
48,1,2,1,4,37.386,"In the first story, Bob told Sue that she could buy an Italian newspaper at PaperWorld and Newstopia.  This was incorrect, because she can only buy it at Newstopia.  In the second story, only Newstopia was mentioned as a place to buy the Italian newspaper (which was correct).",21,28,2,,,,,,1,,,6,4,FL_50,Mixed Case|Base Case
49,1,2,1,6,20.763,"The first story mentioned two stores, one of which sold stationery and no Italian newspapers",21,24,2,,1,,1,,,,,5,8,FL_50,Mixed Case|Base Case
50,1,2,1,7,30.259,The first story had 2 choices where one had a store that did not sell newpapers,21,22,2,,,,1,,,,,5,5,FL_50,Mixed Case|Base Case
51,1,2,1,4,41.22,"In the first story Bob created a level of distrust for Sue in his lack of knowledge.  In the second story Bob was right the first time, earning him points.",21,43,2,,,,,,1,,,5,4,FL_50,Mixed Case|Base Case
52,1,2,1,5,16.888,The second story only contained newstopia to buy a paper from. The first had paperworld (a stationary store) and newstopia.,21,33,1,,,,,,1,,,5,10,FL_50,Mixed Case|Base Case
53,1,2,1,4,42.086,The first story Bob gave Sue two options on where to buy the italian newspaper and he was incorrect about one of them. In the second story he gave her one option and he was right about that one option.,21,26,1,,,,,,1,,,4,4,FL_50,Mixed Case|Base Case
54,1,2,1,4,93.149,bob told her to go to paperworld to get a newspaper. paperworld is a store that sells stationary and not newspapers.,21,27,1,,1,,,,,,,5,3,FL_50,Mixed Case|Base Case
55,1,2,1,4,47.747,Bob mistakenly informed Sue where she could be an Italian newspaper at paper world.  However he was correct in saying she could buy a paper at the other establilshment.,21,62,2,,,,,,1,,,3,6,FL_50,Mixed Case|Base Case
56,1,2,1,7,36.35,the first story has two stores,21,52,1,,,,,,1,,,5,7,FL_50,Mixed Case|Base Case
57,1,2,1,4,9.639,There weren't any newspapers in the first one.,21,20,1,,,,,,1,,,4,5,FL_50,Mixed Case|Base Case
58,1,2,1,7,28.064,"Bob told Sue she could but a newspaper at both stores, but really only one store sold newspapers.",21,39,2,,,,,,1,,,5,5,FL_50,Mixed Case|Base Case
59,1,2,1,4,40.508,She is standing on the street near Newstopia on the second story and isn't near Paperworld.,21,21,2,,,,,,1,,,5,9,FL_50,Mixed Case|Base Case
60,1,2,1,7,31.904,"The first story eventually rules out one store as having newspapers, while the second assumes the store has the paper from Bob's recommendation.",21,30,1,,,,,,1,,,5,6,FL_50,Mixed Case|Base Case
61,1,2,1,7,41.803,"One story has a store where Sue thinks she can buy a newspaper but can't, and one story just has a one store where she can buy a newspaper.",21,22,1,,,,,,1,,,4,6,FL_50,Mixed Case|Base Case
62,1,2,1,2,46.092,sue could only buy newspaper at one store,21,27,2,,,,,,1,,,2,8,FL_50,Mixed Case|Base Case
63,1,2,1,4,106.839,"The second story does not confirm that Bob was wrong about Paperworld.  In the first story, it is known that Paperworld does not sell an Italian newspaper, while in the second, the reader does not know.",21,22,1,,,,1,,,,,5,5,FL_50,Mixed Case|Base Case
64,1,2,1,4,1.525,The second story does not confirm that Paperworld does not sell Italian Newspapers.,21,22,1,,,,1,,,,,5,5,FL_50,Mixed Case|Base Case
65,1,2,1,7,33.116,The second was more straight forward and to the fact.,21,30,1,,,,,,1,,,4,6,FL_50,Mixed Case|Base Case
66,1,2,1,4,64.775,"In the first story, Bob was incorrect about one of the stores selling Italian newspapers. In the second story, Bob was correct in that Newstopia did sell the Italian newspaper.",21,28,2,,,,,,1,,,5,7,FL_50,Mixed Case|Base Case
67,1,2,1,4,115.549,The difference is this: In the first the story there are two stores and in the second there is only one store. In the first story Bob is half right with one store selling the newspaper and in the second story is completely right about the store selling the newspaper.,21,19,1,,,,1,,,,,4,6,FL_50,Mixed Case|Base Case
68,1,2,1,4,578.989,One informed the reader that Bob was misinformed.,21,21,1,,,,,,,,,4,7,FL_50,Mixed Case|Base Case
69,1,2,1,6,37.276,There wasn't any discernible difference in the stories.,21,39,1,,,,,,1,,,6,6,FL_50,Mixed Case|Base Case
70,1,2,1,4,21.638,"Honestly, I did not notice any major difference except that the two stores were reversed. ",21,23,1,,,,,,1,,,5,4,FL_50,Mixed Case|Base Case
71,1,2,1,4,36.373,"In the first one,  Bob listed two stores, one of which did not have the newspaper. In the second, he listed one store which does have the paper.",21,22,2,,,,,,1,,,5,6,FL_50,Mixed Case|Base Case
72,1,2,1,1,44.656,"One includes both paperworld and newstopia, while one only includes newstopia. ",21,21,1,,,,1,,,,,5,5,FL_50,Mixed Case|Base Case
67,1,3,1,1,26.116,"Bob told Sue she can buy a newspaper at Paperworld, but they do not sell newspapers.",21,34,2,,,,,,1,,,2,7,Error Case,
68,1,3,1,1,22.523,"Bob had no idea what he was talking about and told Sue she could buy an Italian newspaper at Paper World, which is actually a stationary store.",21,38,1,,,,,,1,,,4,8,Error Case,
